LISTE DES CENTRES DE LA PETITE ENFANCE ET GARDERIES EN FONCTION,,,,,,,,,,,,,
Mise à jour le 1er novembre 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Coordonnées géographiques,ARTM
L'ACADÉMIE DES PETITS EXPLORATEURS INC.,16 - Montérégie,"5979, boulevard Payer",Saint-Hubert,J3Y 6W6,(450) 656-8080,,petitsexplorateurs1@gmail.com,GARD,75,15,,,1
L'ACADÉMIE LES PETITS SPORTIFS DE ST. HUBERT,16 - Montérégie,"7020, Grande Allée",Saint-Hubert,J3Y 1C4,(450) 445-3020,(450) 445-4851,lespetitssportifsdesthubert@gmail.com,GARD,80,15,,,1
L'ARBRE ENCHANTEUR,16 - Montérégie,"5791, boulevard Cousineau",Saint-Hubert,J3Y 7P5,(514) 621-6413,,garderielarbreenchanteur@gmail.com,GARD,66,10,,,1
LA BERGERIE DU ROI INC.,16 - Montérégie,"4975, boulevard Sir Wilfrid-Laurier, 2e étage",Saint-Hubert,J3Y 7R6,(450) 445-6566,,administration@bergerieduroi.com,GARD,80,14,CR,,1
LA GIRAFE ROSE INC.,16 - Montérégie,"100-1400, boulevard Edouard, local 100 et 105",Saint-Hubert,J4T 3T2,(450) 486-1922,,nancy@lagiraferose.com,GARD,78,10,,,1
LA GRANDE ÉCHELLE,16 - Montérégie,"3572, boulevard Mountainview",Saint-Hubert,J3Y 5N6,(514) 962-0894,,royaumedanis@gmail.com,GARD,42,10,,,1
LA PETITE ACADÉMIE MARIE-LAURIER (CAMPUS LONGUEUIL),16 - Montérégie,"4505, rue Leckie",Saint-Hubert,J3Y 9E6,(450) 923-2787,(450) 923-2291,academie@marielaurier.com,GARD,80,15,,,1
LES ESPIÈGLES RIENT INC.,16 - Montérégie,"3467, boulevard Gaétan Boucher",Saint-Hubert,J3Y 8Y3,(450) 678-3336,,lesespieglesrient@gmail.com,GARD,80,0,CR,,1
LES FAUVETTES BLEUES INC.,16 - Montérégie,"3729, rue Windsor",Saint-Hubert,J4T 2Z5,(514) 240-2736,,lisha1103@hotmail.com,GARD,63,0,CR,,1
CENTRE DE LA PETITE ENFANCE ENFANT LUMIÈRE,16 - Montérégie,"175, rue Saint-Germain",Saint-Hugues,J0H 1N0,(450) 794-2288,(450) 794-2465,enfantlumiere@cablevision.qc.ca,CPE,60,10,CR,,0
AU PAYS ENCHANTÉ MASKOUTAIN INC.,16 - Montérégie,"750, rue Villeneuve Ouest",Saint-Hyacinthe,J2T 2H8,(450) 252-5123,(450) 252-6123,paysenchantem@hotmail.com,GARD,70,20,CR,,0
"CENTRE DE LA PETITE ENFANCE ""LES JARDINS D'HONORINE"" INC.",16 - Montérégie,"1025, rue Gauthier",Saint-Hyacinthe,J2S 1G5,(450) 778-1777,(450) 778-1017,cpejh@maskatel.net,CPE,60,10,CR,,0
"CENTRE DE LA PETITE ENFANCE ""LES JARDINS D'HONORINE"" INC. - MONETTE",16 - Montérégie,"2800, rue Monette",Saint-Hyacinthe,J2S 6A5,,,cpejh@maskatel.net,CPE,53,5,CR,,0
CENTRE DE LA PETITE ENFANCE L'AMIBULLE - INSTALLATION DES MOISSONS,16 - Montérégie,"1305, boul. Casavant Est",Saint-Hyacinthe,J2S 7J4,"(450) 252-2363, poste 21",,ddelisle@amibulle.com,CPE,62,10,CR,,0
CENTRE DE LA PETITE ENFANCE L'AMIBULLE - INSTALLATION DES SEMAILLES,16 - Montérégie,"7015, rue des Semailles",Saint-Hyacinthe,J2R 1B4,(450) 796-3344,,ddelisle@amibulle.com,CPE,60,10,CR,,0
CENTRE DE LA PETITE ENFANCE LE CARREFOUR DES CHANTERELLES,16 - Montérégie,"2150, rue Mailhot",Saint-Hyacinthe,J2S 9E1,,,carrefourdeschanterellesdirection@outlook.com,CPE,80,15,CR,,0
CENTRE DE LA PETITE ENFANCE LES COQUELICOTS INC.,16 - Montérégie,"1700, rue Sainte-Madeleine",Saint-Hyacinthe,J2T 0G2,(450) 774-7239,(450) 774-9986,dg@cpecoquelicots.com,CPE,62,10,CR,,0
CENTRE DE LA PETITE ENFANCE LES COQUELICOTS INC.,16 - Montérégie,"2420, rue Lambert-Sarazin",Saint-Hyacinthe,J2T 0C9,(450) 774-7239,(450) 774-9986,dg@cpecoquelicots.com,CPE,62,10,CR,,0
CENTRE DE LA PETITE ENFANCE MAFAMIGARDE,16 - Montérégie,"13570, avenue de l'Église",Saint-Hyacinthe,J2R 2J2,(450) 799-2500,,chantal.pelletier@mafamigarde.com,CPE,84,10,CR,,0
CENTRE DE LA PETITE ENFANCE MAFAMIGARDE (INST. SAINT-HYACINTHE),16 - Montérégie,"485, avenue Brodeur",Saint-Hyacinthe,J2S 4J4,"(450) 799-2500, poste 203",(450) 799-2502,chantal.pelletier@mafamigarde.com,CPE,39,5,CR,,0
CENTRE DE LA PETITE ENFANCE PLUS GRAND QUE NATURE,16 - Montérégie,"7225, boulevard Laframboise",Saint-Hyacinthe,J2R 1E3,(450) 796-4452,(450) 796-6046,dg@cpenature.com,CPE,38,5,CR,,0
"CPE ALAKAZOUM, INSTALLATION GALOPIN RAYÉ",16 - Montérégie,"3050, rue Boullé",Saint-Hyacinthe,J2S 1H9,(450) 773-1223,(450) 771-7190,dg@cpealakazoum.ca,CPE,61,10,CR,,0
"CPE ALAKAZOUM, INSTALLATION PETIT SABOT",16 - Montérégie,"3222, rue Sicotte",Saint-Hyacinthe,J2S 2M2,(450) 773-1223,,dg@cpealakazoum.ca,CPE,61,10,CR,,0
GARDERIE CRAYON PASTEL,16 - Montérégie,"5925, rue Lafleur",Saint-Hyacinthe,J2S 3Y8,,,crayon.pastel@cgocable.ca,GARD,48,5,CR,,0
GARDERIE LES ARCS-EN-CIEL FRANLOU INC.,16 - Montérégie,"3095, rue Saint-Charles",Saint-Hyacinthe,J2T 1X3,(450) 778-5750,(450) 778-1501,tijr@videotron.ca,GARD,77,0,CR,,0
LA GARDIENNE INC.,16 - Montérégie,"1355, Calixa-Lavallée",Saint-Hyacinthe,J2S 3E7,(450) 768-4410,(450) 464-9288,garderielagardienne@gmail.com,GARD,80,10,,,0
LA PETITE ACADÉMIE DU BOISÉ INC.,16 - Montérégie,"1090, avenue Pratte",Saint-Hyacinthe,J2S 4B6,(450) 771-0644,(450) 771-7242,direction@lapetiteacademie.qc.ca,GARD,15,0,,,0
LE PARADIS DES PETITS ANGES,16 - Montérégie,"2065, rue Cherrier",Saint-Hyacinthe,J2S 1G7,(438) 933-1909,,paradisdespetitsanges@hotmail.com,GARD,57,15,,,0
LE ZIRAFO EN ESPADRILLES,16 - Montérégie,"6250, boulevard Laurier Ouest",Saint-Hyacinthe,J2S 9A4,(450) 278-9163,,info@garderielezirafo.com,GARD,80,20,,,0
PRÉMATERNELLE LE ZIRAFO EN ESPADRILLES,16 - Montérégie,"6260, boulevard Laurier Ouest",Saint-Hyacinthe,J2S 9A4,(450) 278-9163,,naultsabrina@hotmail.com,GARD,60,0,,,0
GARDERIE LILI-JEANNE,16 - Montérégie,"597, rang Saint-Régis",Saint-Isidore,J0L 2A0,(450) 454-2528,,garderielilijeannegw@gmail.com,GARD,39,5,,,1
CENTRE DE LA PETITE ENFANCE ROULE TA POMME INC.,16 - Montérégie,"3270, rue Robert",Saint-Jean-Baptiste,J0L 2B0,(450) 536-7666,(450) 536-6111,msh@rouletapomme.com,CPE,50,10,CR,,1
C.P.E. LE PETIT MONDE DE CALIMÉRO INC.,16 - Montérégie,"395, rue Vaudreuil",Saint-Jean-sur-Richelieu,J3B 3A6,"(450) 346-6626, poste 4024",(450) 346-4915,isabelle.brodeur@cpecalimero.com,CPE,29,0,CR,,0
C.P.E. LE PETIT MONDE DE CALIMÉRO INC. (INST. SAINT-JEAN-SUR-RICHELIEU),16 - Montérégie,"215, rue Saint-Paul, suite 130",Saint-Jean-sur-Richelieu,J3B 0H9,,,,CPE,67,15,CR,,0
CENTRE DE LA PETITE ENFANCE CHEZ FANFAN,16 - Montérégie,"51, rue Frontenac",Saint-Jean-sur-Richelieu,J3B 2Y3,(450) 346-5312,,cpechezfanfan1972@gmail.com,CPE,62,10,CR,,0
CENTRE DE LA PETITE ENFANCE CHEZ FANFAN,16 - Montérégie,"51B, rue Frontenac",Saint-Jean-sur-Richelieu,J3B 2Y3,(450) 346-5312,(450) 346-5319,cpezchezfanfan1972@gmail.com,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE DE SAINT-LUC,16 - Montérégie,"240, rue France",Saint-Jean-sur-Richelieu,J2W 1G1,(450) 348-1031,,joanie.boucher@cpest-luc.ca,CPE,55,5,CR,,0
CENTRE DE LA PETITE ENFANCE DE SAINT-LUC,16 - Montérégie,"1463, rue Bernier",Saint-Jean-sur-Richelieu,J2W 1G1,,,joanie.boucher@cpest-luc.ca,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE DE SAINT-LUC,16 - Montérégie,"1459, rue Bernier",Saint-Jean-sur-Richelieu,J2W 1G1,(450) 348-1031,,joanie.boucher@cpest-luc.ca,CPE,60,10,CR,,0
CENTRE DE LA PETITE ENFANCE DU HAUT-RICHELIEU (INSTALLATION 1),16 - Montérégie,"935, rue Desaulniers",Saint-Jean-sur-Richelieu,J3A 1X8,(450) 359-9757,,services@cpehr.ca,CPE,52,10,CR,,0
CENTRE DE LA PETITE ENFANCE DU HAUT-RICHELIEU (INSTALLATION 2),16 - Montérégie,"935, rue Desaulniers",Saint-Jean-sur-Richelieu,J3A 1X8,(450) 359-9757,,services@cpehr.ca,CPE,60,10,CR,,0
"CENTRE DE LA PETITE ENFANCE JOIE DE VIVRE ""L'ENVOLÉE DES PAPILLONS""",16 - Montérégie,"147, rue Roman",Saint-Jean-sur-Richelieu,J3B 3Z2,"(450) 346-4149, poste 4101",(450) 358-5908,marie-josee.boivin@cpejoiedevivre.com,CPE,50,5,CR,,0
"CENTRE DE LA PETITE ENFANCE JOIE DE VIVRE ""LES AMIS DE LA RIVIÈRE""",16 - Montérégie,"433, rue Laurier",Saint-Jean-sur-Richelieu,J3B 6L8,"(450) 346-4149, poste 4133",(450) 346-2302,marie-josee.boivin@cpejoiedevivre.com,CPE,38,5,CR,,0
CENTRE DE LA PETITE ENFANCE L'UNIVERS DES PETITS INC.,16 - Montérégie,"970, rue Choquette",Saint-Jean-sur-Richelieu,J3A 1V6,(450) 349-5522,(450) 349-0325,dg.universdespetits@videotron.ca,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE LA P'TITE CABOCHE,16 - Montérégie,"180, rue Lareau",Saint-Jean-sur-Richelieu,J2X 2R6,(450) 346-1278,(450) 359-2632,veronique.tremblay@cpecaboche.com,CPE,34,0,CR,,0
CENTRE DE LA PETITE ENFANCE LA P'TITE CABOCHE,16 - Montérégie,"405, rue Coderre",Saint-Jean-sur-Richelieu,J3B 7J8,,,manon.poirier@cpecaboche.com,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE LA P'TITE CABOCHE,16 - Montérégie,"202, rue Courville",Saint-Jean-sur-Richelieu,J2W 2Y9,(450) 349-1992,,manon.poirier@cpecaboche.com,CPE,52,10,CR,,0
CENTRE DE LA PETITE ENFANCE LES POUSSINEAUX,16 - Montérégie,"1045, rue Provençal",Saint-Jean-sur-Richelieu,J3B 8P6,(450) 346-7811,,josee.boivin@lespoussineaux.com,CPE,80,20,CR,,0
CENTRE DE LA PETITE ENFANCE LES POUSSINEAUX,16 - Montérégie,"101, rue Pierre-Brault",Saint-Jean-sur-Richelieu,J2Y 1A4,(450) 357-1164,,,CPE,80,10,CR,,0
CENTRE DE LA PETITE ENFANCE O MILLE BALLONS,16 - Montérégie,"125, chemin de l'Aéroport",Saint-Jean-sur-Richelieu,J3B 7B5,(450) 358-7321,(450) 346-3820,info@cpeomilleballons.org,CPE,80,10,CR,,0
CENTRE ÉDUCATIF À CIEL OUVERT (ST-LUC),16 - Montérégie,"66, rue Pierre-Brosseau",Saint-Jean-sur-Richelieu,J2W 1X9,(450) 348-7325,,jeremycola@groupecsg.com,GARD,49,6,CR,,0
GARDERIE ALAKAZOU ENR.,16 - Montérégie,"475, 2e Avenue",Saint-Jean-sur-Richelieu,J2X 5H9,(450) 347-2320,(450) 347-4923,garderiealakazou@outlook.com,GARD,80,10,CR,,0
GARDERIE BOULE D'ÉNERGIE,16 - Montérégie,"196, rue St-Louis, bureau 103",Saint-Jean-sur-Richelieu,J3B 1Y1,(514) 996-9220,,ndumas002@videotron.ca,GARD,57,20,,,0
GARDERIE BOULE D'ÉNERGIE 2,16 - Montérégie,"198, rue St-Louis, bureau 104",Saint-Jean-sur-Richelieu,J3B 1Y1,,,ndumas002@videotron.ca,GARD,64,0,,,0
GARDERIE BRIN D'ÉNERGIE,16 - Montérégie,"606, rue Champlain, suite 102",Saint-Jean-sur-Richelieu,J3B 6X1,(450) 741-1230,,info@brindenergie.ca,GARD,54,10,,,0
GARDERIE BRIN D'ÉNERGIE,16 - Montérégie,"608, rue Champlain",Saint-Jean-sur-Richelieu,J3B 6X1,(450) 741-1230,(450) 376-4060,ndumas002@videotron.ca,GARD,69,19,,,0
GARDERIE DU TERMINUS,16 - Montérégie,"650, rue Boucher, suite 202",Saint-Jean-sur-Richelieu,J3B 7Z8,"(450) 376-3286, poste 222",(450) 376-3286,sbouchard@hotmail.fr,GARD,100,20,CR,,0
GARDERIE FRISBI ET COMPAGNIE,16 - Montérégie,"115, rue Towner",Saint-Jean-sur-Richelieu,J3B 0B8,,,garderie.frisbi@videotron.ca,GARD,60,10,CR,,0
GARDERIE LES APPRENTIS EXPLORATEURS INC.,16 - Montérégie,"385, rue des Colibris",Saint-Jean-sur-Richelieu,J2W 0B3,(450) 376-9909,,st-jean@lesapprentisexplorateurs.ca,GARD,75,15,,,0
GARDERIE ÉDUCATIVE PERLE DE LUNE INC.,16 - Montérégie,"1095, rue Bernier",Saint-Jean-sur-Richelieu,J2W 1X4,(450) 349-7051,,xlz_sharon@hotmail.com,GARD,80,10,CR,,0
LA FORÊT ENCHANTÉE,16 - Montérégie,"880, 2e Rue",Saint-Jean-sur-Richelieu,J2X 3J1,(450) 347-5963,(450) 347-6338,dg.universdespetits@videotron.ca,CPE,75,15,CR,,0
LA PETITE MAISON JOHANNAISE,16 - Montérégie,"112, boulevard Saint-Luc, local 101",Saint-Jean-sur-Richelieu,J3A 1G2,,,nathalie.lpmj@videotron.ca,GARD,80,10,,,0
LA PETITE MAISON JOHANNAISE 2.0,16 - Montérégie,"112, boulevard Saint-Luc, suite 102",Saint-Jean-sur-Richelieu,J3A 1G2,(450) 376-4422,(450) 376-1100,nathalie.lpmj@videotron.ca,GARD,20,10,,,0
LE CENTRE DE LA PETITE ENFANCE L'ARC-EN-JOIE,16 - Montérégie,"201, rue Grenier",Saint-Jean-sur-Richelieu,J2W 1P8,(450) 348-4058,(450) 348-9903,arc.diane@videotron.ca,CPE,60,10,CR,,0
LE PARADIS DES PETITS,16 - Montérégie,"440, boulevard Saint-Luc, local 104",Saint-Jean-sur-Richelieu,J2W 0E2,,,info@leparadisdespetits.ca,GARD,79,19,,,0
LE PARADIS DES PETITS 2,16 - Montérégie,"440, boulevard St-Luc, local 106",Saint-Jean-sur-Richelieu,J2W 0E2,(450) 376-7774,(450) 359-7680,iverdon@videotron.ca,GARD,20,0,,,0
LES PETITS BOUBOU INC.,16 - Montérégie,"550, boulevard de Normandie, bureau 900",Saint-Jean-sur-Richelieu,J3B 4W9,(450) 349-2278,,petitsboubou@gmail.com,GARD,50,10,CR,,0
MADAME ABC,16 - Montérégie,"90A, route 104",Saint-Jean-sur-Richelieu,J2X 1H1,(450) 357-1717,(450) 357-1713,josee@madameabc.com,GARD,38,0,,,0
ODYSSÉE SIEURS D'IBERVILLE 715-104,16 - Montérégie,"715, boulevard d'Iberville, suite 104",Saint-Jean-sur-Richelieu,J2X 4S7,(450) 376-1744,(450) 741-7534,jade.samson@gpesamson.ca,GARD,60,10,CR,,0
ODYSSÉE SIEURS D'IBERVILLE 735,16 - Montérégie,"735, boulevard d'Iberville",Saint-Jean-sur-Richelieu,J2X 4S7,(450) 376-1744,(450) 741-7534,jade.samson@gpesamson.ca,GARD,80,10,CR,,0
PLANÈTE DES TOUTS-PETITS,16 - Montérégie,"295, boulevard St-Luc",Saint-Jean-sur-Richelieu,J2W 1C5,,,,GARD,80,15,CR,,0
SERVICE DE GARDE BELLES AVENTURES INC.,16 - Montérégie,"115, rue des Mimosas",Saint-Jean-sur-Richelieu,J2X 5P7,(450) 358-0808,(450) 358-8383,garderiebellesaventures@gmail.com,GARD,80,15,,,0
ÉCOLE TRILINGUE VISION ST-JEAN,16 - Montérégie,"425, rue des Colibris",Saint-Jean-sur-Richelieu,J2W 0B3,(450) 349-1718,,stjean@ecolevision.com,GARD,54,0,,,0
CENTRE DE LA PETITE ENFANCE LA MARELLE INC. (MARIE-STELLA),16 - Montérégie,"1009, rue Saint-Pierre",Saint-Joseph-de-Sorel,J3R 1B3,(450) 742-0567,(450) 742-2851,marelle@videotron.ca,CPE,38,5,CR,,0
CENTRE DE LA PETITE ENFANCE DU MOUILLEPIED INC.,16 - Montérégie,"510, avenue Mercille",Saint-Lambert,J4P 2L7,(450) 671-3432,(450) 671-8687,direction_generale@mouillepied.com,CPE,60,5,CR,,1
CENTRE DE LA PETITE ENFANCE DU MOUILLEPIED INC.,16 - Montérégie,"266, avenue Saint-Denis",Saint-Lambert,J4P 2G3,(450) 671-4747,(450) 671-8084,direction_generale@mouillepied.com,CPE,80,10,CR,,1
GARDERIE ÉDUCATIVE L'ARC-EN-CIEL,16 - Montérégie,"2035-F, avenue Victoria",Saint-Lambert,J4S 1H1,(450) 672-9199,(450) 672-9905,garderiearcenciel@hotmail.com,GARD,80,15,CR,,1
GARDERIE ÉDUCATIVE LES COLIBRIS,16 - Montérégie,"2071-2073, rue Victoria",Saint-Lambert,J4S 1H1,(450) 812-8428,,info@les-colibris.ca,GARD,80,10,,,1
GARDERIE ÉDUCATRICE RIVERSIDE,16 - Montérégie,"185, rue Riverside",Saint-Lambert,J4R 1A7,(450) 466-9400,(514) 466-0130,garderieeducativeriverside@yahoo.ca,GARD,75,15,,,1
LA GAZOUILLERIE,16 - Montérégie,"480-482-484, rue Rothesay",Saint-Lambert,J4R 2H5,(450) 466-2442,,gazouillerie@videotron.ca,GARD,80,15,,,1
LE CENTRE DE LA PETITE ENFANCE DE SAINT-LAMBERT AGATHE LA GIRAFE,16 - Montérégie,"201, rue Cartier",Saint-Lambert,J4P 3P8,(450) 671-8703,,lcamerlain@cpest-lambert.com,CPE,93,15,CR,,1
LE CENTRE DE LA PETITE ENFANCE DE SAINT-LAMBERT AGATHE LA GIRAFE,16 - Montérégie,"50, avenue Sainte-Hélène",Saint-Lambert,J4R 1S2,(450) 671-8703,,,CPE,80,10,CR,,1
CENTRE EDUCATIF DU VILLAGE DE ST-LAZARE INC. / VILLAGE LEARNING CENTRE OF ST-LAZARE INC.,16 - Montérégie,"1720, chemin Sainte-Angélique",Saint-Lazare,J7T 2X8,(450) 424-5122,(450) 424-0767,magdihanna@hotmail.com,GARD,80,10,CR,,1
GARDERIE ENFANTASTIX INC.,16 - Montérégie,"1439, chemin Sainte-Angélique",Saint-Lazare,J7T 1Y9,(450) 455-0707,(450) 455-0714,enfantastix@hotmail.ca,GARD,93,15,CR,,1
GARDERIE NANCY BB+ INC.,16 - Montérégie,"1478B, chemin Sainte-Angélique",Saint-Lazare,J7T 1Y6,(450) 455-6611,(450) 455-2330,garderienancybb@gmail.com,GARD,39,15,CR,,1
GARDERIE NANCY INC.,16 - Montérégie,"1478, chemin Sainte-Angélique",Saint-Lazare,J7T 1Y6,(450) 455-6611,,garderienancybb@gmail.com,GARD,80,0,CR,,1
GARDERIE PRÉCIEUX CARGO (SAINT-LAZARE) INC.,16 - Montérégie,"1475, chemin Sainte Angélique",Saint-Lazare,J7T 1Y6,(450) 218-6292,(450) 218-6392,preciouscargostlazare@outlook.com,GARD,70,10,CR,,1
GARDERIE UN MONDE JUSTE POUR NOUS INC.,16 - Montérégie,"499D, route de la Cité-des-Jeunes",Saint-Lazare,J7T 2A7,(450) 218-1820,,unmondejustepournous@gmail.com,GARD,80,12,CR,,1
GARDERIE ÉDUCATIVE ENFANT CITÉ INC.,16 - Montérégie,"2190, chemin Sainte-Angélique",Saint-Lazare,J7T 2H4,(514) 316-5588,,garderieenfantcite@gmail.com,GARD,100,25,CR,,1
LE ROYAUME DES ENFANTS DE ST-LAZARE II INC.,16 - Montérégie,"2222, chemin Sainte-Angélique",Saint-Lazare,J7T 2H4,(450) 510-2277,(450) 424-7388,garderie@royaumeenfants.com,GARD,80,10,CR,,1
LE ROYAUME DES ENFANTS DE ST-LAZARE INC.,16 - Montérégie,"2277, chemin Sainte-Angélique",Saint-Lazare,J7T 2H5,(450) 510-2277,(450) 424-7388,garderie@royaumeenfants.com,GARD,80,10,CR,,1
LES AMIS DU CARRÉ DE SABLE,16 - Montérégie,"1450, avenue Bédard",Saint-Lazare,J7T 2W9,(450) 424-2342,,slefebvre@cpeamissable.org,CPE,60,10,CR,,1
LES AMIS DU CHÂTEAU DE SABLE,16 - Montérégie,"2270, chemin Sainte-Angélique",Saint-Lazare,J7T 2H5,(450) 424-6888,(450) 424-5687,gemond@cpeamissable.org,CPE,74,10,CR,,1
PETITE ÉCOLE MONTESSORI INC.,16 - Montérégie,"1545, chemin Sainte-Angélique",Saint-Lazare,J7T 2X2,(450) 424-4960,(450) 424-4960,ndavies@ecolemontessori.ca,GARD,48,0,,,1
SERVICE DE GARDE NIDO SAINT-LAZARE,16 - Montérégie,"1549, chemin Sainte-Angélique",Saint-Lazare,J7T 1Y6,(450) 424-4960,,edavies@ecolemontessori.ca,GARD,48,0,CR,,1
CENTRE DE LA PETITE ENFANCE DOUX RÉVEIL,16 - Montérégie,"11, place Mauriac",Saint-Liboire,J0H 1R0,(450) 793-3111,(450) 793-3112,dg@cpedouxreveil.ca,CPE,68,10,CR,,0
CENTRE DE LA PETITE ENFANCE LA CAMPINOISE,16 - Montérégie,"150, rue Principale",Saint-Louis-de-Gonzague,J0S 1T0,,,,CPE,60,10,CR,,0
GARDERIE PRÉSCOLAIRE DES PETITS PIEDS ll INC.,16 - Montérégie,"100, rue Sainte-Marie",Saint-Louis-de-Gonzague,J0S 1T0,(450) 617-0648,,annydubois@hotmail.com,GARD,80,15,,,0
CENTRE DE LA PETITE ENFANCE LA PASSERELLE,16 - Montérégie,"148, rue Moreau",Saint-Marc-sur-Richelieu,J0L 2E0,(514) 608-9826,,claudette.paquette@cpelapasserelle.com,CPE,78,10,CR,,0
GARDERIE LES FRACO-MOUSSES,16 - Montérégie,"254, chemin des Patriotes",Saint-Mathias-sur-Richelieu,J3L 6A3,(450) 658-8166,,fraco-mousses@fraco.com,GARD,76,10,CR,,1
GARDERIE LES PETITS MATHIASSOIS,16 - Montérégie,"18, rue Lussier",Saint-Mathias-sur-Richelieu,J3L 6A4,(450) 447-8829,(450) 447-5094,xmluoroger@hotmail.com,GARD,80,10,CR,,1
CPE LES COPAINS D'ABORD INSTALLATION ST-MATHIEU-DE-BELOEIL,16 - Montérégie,"5000, rue des Loisirs",Saint-Mathieu-de-Beloeil,J3G 2C9,,,,CPE,34,8,CR,,1
C.P.E. DU JARDIN FLEURI,16 - Montérégie,"690, chemin Rhéaume",Saint-Michel,J0L 2J0,(450) 454-0021,(450) 454-0021,jardinfleuri@bellnet.ca,CPE,31,5,CR,,0
GARDERIE L'ÎLE AUX OISEAUX INC.,16 - Montérégie,"1688, rue Principale",Saint-Michel,J0L 2J0,(450) 454-4084,,dyane.gregoire@gmail.com,GARD,62,10,,,0
CPE LES COPAINS D'ABORD INSTALLATION ST-OURS,16 - Montérégie,"96, rue Curé-Beauregard",Saint-Ours,J0G 1P0,,,,CPE,41,8,CR,,0
AU COEUR DU JARDIN,16 - Montérégie,"222, rue des Loisirs",Saint-Patrice-de-Sherrington,J0L 2N0,(450) 454-0066,(450) 454-3606,dg@cpejeunespousses.ca,CPE,39,5,CR,,0
CENTRE DE LA PETITE ENFANCE L'AMUS'AILES,16 - Montérégie,"1075, rue Yamaska",Saint-Paul-d'Abbotsford,J0E 1A0,(450) 379-9695,,dg@cpelamusailes.ca,CPE,62,10,CR,,0
GARDERIE DE L'ÎLE AUX NOIX,16 - Montérégie,"13, rue des Noyers",Saint-Paul-de-l'Île-aux-Noix,J0J 1G0,(450) 542-1718,,garderie.ileauxnoix@gmail.com,GARD,60,10,,,0
"BULLES & BOUSSOLES, GARDERIE ALTERNATIVE ÉCORESPONSABLE",16 - Montérégie,"3035, route Édouard VII, suite 102",Saint-Philippe,J0L 2K0,(514) 264-1788,,garderiebullesetboussoles@gmail.com,GARD,80,20,,,1
CENTRE DE LA PETITE ENFANCE SAINT-PHILIPPE,16 - Montérégie,"49, rue des Érables",Saint-Philippe,J0L 2K0,(450) 444-9668,,cpestphilippe@videotron.ca,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LES P'TITES PIES,16 - Montérégie,"137, rue Nichols",Saint-Pie,J0H 1W0,(450) 772-6776,(450) 772-5408,info@petitespies.com,CPE,60,10,CR,,0
GARDERIE ÉDUCATIVE ENFANT VILLAGE INC.,16 - Montérégie,"291, rue Sainte-Catherine",Saint-Polycarpe,J0P 1X0,(450) 265-3437,,garderieeducativeenfantvillage@hotmail.com,GARD,80,20,CR,,0
C.P.E. DU JARDIN FLEURI,16 - Montérégie,"81, rue Saint-André",Saint-Rémi,J0L 2L0,(450) 454-6181,(450) 454-6666,jardinfleuri@bellnet.ca,CPE,65,5,CR,,0
LA MAISONNÉE DES P'TITS INC.,16 - Montérégie,"1420, place des Graminées",Saint-Rémi,J0L 2L0,(450) 992-0940,,mouane@hotmail.com,GARD,77,10,,,0
LA PETITE MATERNELLE,16 - Montérégie,"44, rue Chèvrefils",Saint-Rémi,J0L 2L0,(450) 992-1345,,garderielapetitematernelle@hotmail.com,GARD,80,15,,,0
CENTRE DE LA PETITE ENFANCE MAFAMIGARDE,16 - Montérégie,"1009, 1er Avenue",Saint-Valérien-de-Milton,J0H 2B0,,,,CPE,39,5,CR,,0
"COIN DES LUTINS, ST-ZOTIQUE II",16 - Montérégie,"5, avenue des Maîtres",Saint-Zotique,J0P 1Z0,(514) 885-5160,(450) 308-3309,info@coindeslutins.com,GARD,60,10,CR,,0
"COIN DES LUTINS, ST-ZOTIQUE INC.",16 - Montérégie,"215, 34e Avenue",Saint-Zotique,J0P 1Z0,(450) 267-3087,(450) 308-3309,info@coindeslutins.com,GARD,100,25,CR,,0
GARDERIE DE LA PETITE FAMILLE INC.,16 - Montérégie,"456, 34e avenue",Saint-Zotique,J0P 1Z0,(450) 217-1870,,chantalrainville@petitefamille.ca,GARD,70,10,,,0
GARDERIE PARADIS DES PETITS AMIS,16 - Montérégie,"1010, rue Principale",Saint-Zotique,J0P 1Z0,(450) 217-2888,,info_paradis@yahoo.ca,GARD,80,10,CR,,0
GARDERIE ÉDUCATIVE LES PETITS TRÉSORS INC.,16 - Montérégie,"1186, rue Principale",Saint-Zotique,J0P 1Z0,(450) 217-1335,,gelespetitstresors@hotmail.fr,GARD,42,10,,,0
C.P.E. DU JARDIN FLEURI,16 - Montérégie,"3, rue Derome",Saint-Édouard,J0L 1Y0,(450) 454-0550,(450) 454-4849,jardinfleuri@bellnet.ca,CPE,44,10,CR,,0
